timestamp, folderName, model, test_acc
2025-05-12 11:42:54.970455, 5way_5shot_LabelPropagation_alpha0.7_k20_GCN_20250512_113038, epoch_4_0.8730666881799698_best.pth, 0.9348533557653427
2025-05-12 12:11:29.661031, 5way_10shot_LabelPropagation_alpha0.7_k20_GCN_20250512_114254, epoch_42_0.9083999770879746_best.pth, 0.9528399774432182
2025-05-12 13:09:23.532255, 10way_5shot_LabelPropagation_alpha0.7_k20_GCN_20250512_121129, epoch_44_0.8348000174760819_best.pth, 0.915960020005703
2025-05-12 13:49:22.854866, 10way_10shot_LabelPropagation_alpha0.7_k20_GCN_20250512_130923, epoch_23_0.8574999791383743_best.pth, 0.9514699800610542
2025-05-12 14:28:26.927697, 5way_5shot_LabelPropagation_alpha0.7_k20_GIN_20250512_134922, epoch_65_0.8704000216722488_best.pth, 0.9406533588171005
2025-05-12 14:55:44.207062, 5way_10shot_LabelPropagation_alpha0.7_k20_GIN_20250512_142826, epoch_37_0.908999975323677_best.pth, 0.94865997838974
2025-05-12 15:40:48.269814, 10way_5shot_LabelPropagation_alpha0.7_k20_GIN_20250512_145544, epoch_28_0.8159333544969559_best.pth, 0.879306687116623
2025-05-12 16:21:00.080686, 10way_10shot_LabelPropagation_alpha0.7_k20_GIN_20250512_154048, epoch_22_0.8674999815225601_best.pth, 0.9212399811148644
2025-05-11 16:35:13.907827, 5way_5shot_LabelPropagation_alpha0.7_k20_GAT_20250511_150400, epoch_58_0.8881333565711975_best.pth, 0.9452266898751259
2025-05-11 17:48:34.927893, 5way_10shot_LabelPropagation_alpha0.7_k20_GAT_20250511_163513, epoch_41_0.9131999754905701_best.pth, 0.9568999783396721
2025-05-13 22:46:52.303393, 10way_10shot_LabelPropagation_alpha0.7_k20_GAT_20250513_211811, epoch_19_0.8720999789237976_best.pth, 0.9306099838018418
2025-05-14 00:40:14.374001, 10way_5shot_LabelPropagation_alpha0.7_k20_GAT_20250513_200505, epoch_32_0.8218000197410583_best.pth, 0.9167000219225884
2025-05-20 16:31:30.780046, 5way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250520_161514, epoch_15_0.8642666876316071_best.pth, 0.9246266894936561
2025-05-20 16:44:30.915504, 5way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250520_163130, epoch_7_0.9059999775886536_best.pth, 0.9499599784016609
2025-05-20 17:23:27.827016, 10way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250520_164430, epoch_25_0.8216000211238861_best.pth, 0.9181000218987465
2025-05-20 17:57:43.245205, 10way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_64_64_20250520_172327, epoch_19_0.8607999807596207_best.pth, 0.9380299838185311
2025-05-20 18:29:32.280778, 5way_5shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_256_128_20250520_175749, epoch_39_0.8860000199079514_best.pth, 0.9317333565950394
2025-05-20 18:44:33.549331, 5way_10shot_LabelPropagation_alpha0.7_k20_GCN_layers3_128_256_128_20250520_182932, epoch_6_0.9089999783039093_best.pth, 0.9519399772286415
